Year,Quarter,Real terms price indices: Solid fuels [Note 3],Real terms price indices: Gas [Note 3],Real terms price indices: Electricity [Note 3],Real terms price indices: Liquid fuels [Note 3],"Real terms price indices: Domestic fuels [Note 1, 3]","Real terms price indices: Motor fuel & oil [Note 2, 3]",Real terms price indices: All Items CPI 2025=100 [Note 3]
2011,Apr to June,88.1245353830189,77.93869196599688,62.061968233260544,156.93926671614057,69.34043642272486,145.92247854560995,99.33952947943659
2011,July to Sept,87.22422623167722,81.58610735446746,63.534616883015225,147.25280753496085,71.45781486771003,144.27518882799055,99.06954642446682
2011,Oct to Dec,92.28073028562625,90.113085554637,67.5558398949309,152.98935119372806,77.37552115070166,142.37269352226,99.3553764423505
2012,Jan to Mar,92.16558972571521,89.43005246716936,66.65657169902725,159.07871046979406,76.78832664917428,144.25256582873553,99.44465919564493
2012,Apr to June,90.67966090031564,88.31603972657278,65.78897778937704,149.96229054252143,75.66444646838157,145.33567144943925,100.11288888193323
2012,July to Sept,89.46865503067953,87.8742638044301,65.45988710075798,150.0802199995466,75.28595655063306,142.38751922564683,99.92404026089105
2012,Oct to Dec,90.29152393262048,90.05035783368697,66.73053796066488,157.21069740238437,77.07846499366138,141.83184147162115,100.61175254463977
2013,Jan to Mar,90.06899452985327,93.51187420990067,69.24273012702885,162.5042893430311,79.8983867080797,141.40934120535354,100.14979457052719
2013,Apr to June,89.7483757501119,93.65489454291802,69.43343918310514,148.4949976915484,79.77931799810098,139.58753765271697,100.7170290952582
2013,July to Sept,89.38121578418661,92.88593399595545,69.08196452667354,148.5940936503258,79.28494235918419,139.81102103800347,100.19462730217712
2013,Oct to Dec,91.12434828567062,94.73392507695071,70.45921918992566,145.6411010958852,80.71620594068727,134.72486911447646,100.58523549096367
2014,Jan to Mar,91.57575708192583,97.4928585438536,72.99240967485179,141.8111314517694,83.09434597991718,132.67601127947316,100.17142656696349
2014,Apr to June,91.18551081517091,97.00974419290954,72.54055378935634,135.55630962325938,82.51842004263568,132.6624408501263,100.95275193369395
2014,July to Sept,89.73292071311633,95.85047838529331,71.67369464677043,131.1634019981908,81.45347408509426,130.62899862604846,99.74636720940514
2014,Oct to Dec,92.04559284973082,96.18129412584102,71.92106729187137,119.83650160699821,81.41810629920899,123.54781557507415,100.19061975341621
2015,Jan to Mar,91.76799306851817,94.24262879489463,71.77515517186839,100.33995621475329,80.22640776657323,110.9562286316703,99.28884043726526
2015,Apr to June,90.74108875181109,92.10509122887491,71.68212544680209,100.41811134454393,79.25566740963794,116.76425429331067,100.05767400297394
2015,July to Sept,89.6519573091172,91.00372461840365,71.46688904549,88.09890216084625,78.4656705128835,113.50050959712019,99.75723573413326
2015,Oct to Dec,90.75618377417419,89.19820336942291,71.12335105458601,80.95945968304285,77.460642553594,106.93362914423679,99.4760644284035
2016,Jan to Mar,90.33990456510459,87.60884746770824,70.79712345121902,68.31674375072586,76.32413795821516,101.11544038490862,98.52617090061331
2016,Apr to June,89.38896931502846,84.56941435095918,70.54338706421473,77.35167440646059,75.26718663750701,107.49341505590029,98.96139347293703
2016,July to Sept,87.14849485221569,83.71043816542088,69.82687400804166,82.44874040534233,74.6571034175234,109.14390777700022,98.44406703150773
2016,Oct to Dec,89.25316973230262,83.18810374095075,69.3911699208708,95.69492044922636,74.65159851540787,112.16914325434031,98.41154115638132
2017,Jan to Mar,90.00662195346501,82.55086546185176,69.43356505489714,102.45185447644656,74.6281068866077,116.4606337549553,98.56131707480276
2017,Apr to June,89.32043674120749,82.3894526853549,73.54060854681515,93.50694514721583,76.55483973134938,113.44120456026168,99.74060329859032
2017,July to Sept,88.70194211494292,82.92038853934469,75.41169443209166,93.41466924079963,77.77630879718306,112.89473258875147,100.22102747331868
2017,Oct to Dec,90.56293360606895,82.292538162911,76.49311433357913,106.31985995516018,78.477659635227,115.27495623571191,100.32540189224221
2018,Jan to Mar,91.07484617928655,82.22151235207184,76.26361352865926,116.55660577058875,78.46921296826193,116.43425092883678,100.1200231570059
2018,Apr to June,88.69427313773637,82.5131866386397,76.93786617215672,121.68080670373371,79.03278480084894,119.64747209583417,100.25536454599566
2018,July to Sept,87.82104003759498,84.79091696785667,79.53391036526675,121.59751250673752,81.32598619587496,122.97494902035821,100.32021230271062
2018,Oct to Dec,90.23193236343863,86.39828041949963,81.414821720376,126.29962356045642,83.08276345684799,121.51553889738018,100.03442981074969
